tchStrt,tchEnd,duration,dist2prev,xMean,yMean,MMean,xMax,yMax,MMax,xMin,yMin,MMin,relocationX,relocationY,distanceX,distanceY,distance,averagespeedx,averagespeedy,averagespeed,averageAccelerationX,averageAccelerationY,averageAcceleration,avrAngVX,avrAngVY,averageAngularAccelerationx,averageAngularAccelerationY,dist2start,wj1,wj2,angleM,STKW,Emotion,Valence,Arousal
40442.51351,40442.93592,0.422408,0.46185,1202.194444,1789.055556,48,1353,1919,48,626,1366,1366,727,553,716,553,913.421042,1747.126001,1309.160811,2222.456666,499.5170546,364.5764285,2222.456666,19316.92493,19326.82862,663.9468665,654.5352444,94.548083,0.992064677,0.893272425,61.45233054,3,2,-0.062688,-0.062688
40443.13088,40443.51721,0.386321,0.194968,1155.636364,1754.939394,49,1341,1922,49,499,1250,1250,842,672,836,669,1077.287334,2195.065761,1747.251638,2845.92435,649.7187572,465.9337701,2845.92435,19331.54852,19344.18643,878.6449391,873.4963722,95.165459,0.848788901,0.849724668,1.254094673,3,3,-0.03654,-0.03654
40443.6999,40443.80754,0.107637,0.182693,1116.6,1356.3,24,1514,1631,24,732,1155,1155,782,476,782,476,915.4780172,7265.15975,4422.271152,8698.31663,2517.721601,873.3056477,8698.31663,19503.65213,19543.72114,2391.800046,2210.634935,95.734473,0.352535037,0.494956414,164.0957091,4,6,-0.023406,-0.023406
40446.16014,40446.56989,0.409752,2.352604,1161.457143,1643.171429,51,1346,1791,51,469,1179,1179,877,612,871,612,1069.426482,2154.962026,1493.586364,2662.706351,546.6721334,368.5155899,2662.706351,19389.08276,19401.59102,736.9137381,746.7068239,98.194714,0.879285165,0.829835884,1.299986223,1,6,-0.028887,-0.028887
40446.76511,40447.33263,0.567526,0.195217,1174,1693.9375,49,1311,1814,49,503,1215,1215,808,599,804,599,1005.815589,1430.771454,1055.458252,1805.929715,387.6474382,255.4949024,1805.929715,19368.1914,19376.54995,530.1499773,527.5489784,98.799683,0.879404862,0.635968094,126.2260679,1,6,-0.004637,-0.004637
40447.45528,40447.92647,0.471196,0.122643,1268.5,1826.9,43,1410,1952,43,592,1304,1304,818,648,814,648,1043.565043,1744.496982,1375.223898,2244.552856,485.9973344,371.3953429,2244.552856,19300.16435,19310.38955,680.0429206,687.4948525,99.489852,0.871800963,0.799734318,116.9620327,2,1,0.3085,0.3085
40450.72536,40451.01158,0.286217,2.798887,1091.333333,1793.291667,47,1303,1956,47,554,1444,1444,749,512,748,512,907.2733877,2620.389425,1788.852514,3210.812428,779.1291223,485.6455067,3210.812428,19313.06967,19328.7822,876.5854387,894.0557689,102.759935,0.814985542,0.737330835,168.7087728,0,1,0.13774,0.13774
40451.15093,40451.5499,0.398971,0.139353,1239.969697,1787.363636,44,1392,1948,44,724,1300,1300,668,648,666,646,930.6599809,1679.320051,1629.191094,2373.679153,458.6799542,423.5896845,2373.679153,19321.91023,19331.98733,821.957522,814.5315324,103.185505,0.86393279,0.800075936,1.006985449,1,1,0.099283,0.099283
40452.10274,40452.3641,0.261358,0.552836,1141.727273,998.4545455,35,1506,1447,35,730,594,594,776,853,759,587,1153.163041,3034.152389,4281.483636,5630.278911,975.6732145,1419.508873,5630.278911,19709.6056,19726.88347,2048.65227,2140.528859,104.137312,0.695494168,0.814094145,127.8323986,2,1,0.11244,0.11244
40452.72935,40453.06569,0.336334,0.365259,1336.821429,1182.642857,8,1523,1411,8,736,679,679,787,732,785,713,1074.799051,2345.882367,2232.899439,3449.804728,615.4596324,609.5131625,3449.804728,19621.11853,19635.12123,1117.805684,1116.35639,104.763929,0.837282254,0.883658401,137.7154495,3,1,0.15362,0.15362
40453.24379,40453.69255,0.448761,0.178099,1380.621622,1100.459459,47.83783784,1495,1250,48,747,569,569,748,681,736,681,1011.565618,1698.008517,1517.511548,2350.849657,412.2461622,369.9073672,2350.849657,19666.36253,19676.49819,722.7418882,758.37005,105.278362,0.899513802,0.828831592,1.092272487,4,1,0.16566,0.16566
40454.35814,40455.04625,0.688114,0.665592,1248.642857,1105.339286,49.73214286,1381,1231,50,532,611,611,849,620,838,620,1051.285404,1249.792912,901.0134949,1592.016988,344.4196746,223.8001261,1592.016988,19667.2218,19674.67537,447.4274132,450.3165086,106.392715,0.878133487,0.90056445,93.45555836,3,1,0.2168,0.2168
40457.83875,40458.28825,0.449503,2.792492,969.5675676,920.3243243,44,1469,1460,44,579,494,494,890,966,882,412,1313.490008,1997.761973,3381.51247,4201.141545,442.7111721,791.9858155,4201.141545,19756.95779,19768.86371,1627.271163,1690.701992,109.873321,0.861935796,0.900154022,1.303262486,0,1,0.52401,0.52401
40458.60296,40458.6767,0.073742,0.314708,1282.857143,1759.142857,37,1483,1988,37,1149,1629,1629,334,359,334,359,490.343757,4529.304874,4868.3247,6684.744778,1518.80882,1749.342302,6684.744778,19323.17714,19349.7424,2759.121383,2433.661184,110.637532,0.343410251,-0.001250269,0.512185933,1,1,0.1581,0.1581
40459.79333,40459.95454,0.16121,1.116633,1011.642857,1716.428571,43.92857143,1371,2034,45,519,1386,1386,852,648,852,648,1070.424215,5285.031946,4019.601762,6757.774698,1017.306619,862.2293902,6757.774698,19340.43703,19371.71654,1944.24599,2009.301979,111.827907,0.673623541,0.683772496,163.5401193,2,1,0.1581,0.1581
40460.61222,40460.78553,0.17331,0.657676,1194.066667,1406.533333,40,1516,1732,40,854,1154,1154,662,578,662,578,878.8219387,3819.744966,3335.064336,5200.901302,1050.141365,721.2509376,5200.901302,19505.01613,19527.07662,1667.032168,1667.098534,112.646793,0.654026377,0.690992599,0.996193951,3,1,0.1581,0.1581
40461.16445,40461.44971,0.285263,0.378917,1122.583333,1514,49,1370,1740,49,624,1113,1113,746,627,742,626,974.4973063,2629.152747,2201.477233,3467.162522,652.0298812,553.8748453,3467.162522,19458.21617,19473.64748,1114.562935,1100.53521,113.19902,0.789201488,0.714856914,169.2092934,3,1,0.1581,0.1581
40462.3161,40462.40171,0.085608,0.866391,1246.375,1245.625,41,1486,1449,41,1092,1141,1141,394,308,394,308,500.09999,4602.37361,3597.794599,5898.940456,1378.375853,1319.970096,5898.940456,19581.49202,19608.3609,2090.426082,1798.39859,114.350674,0.330569452,0.331666708,167.5406035,3,1,0.1581,0.1581
40464.41854,40464.61709,0.198557,2.01683,1030.470588,1569.588235,48,1299,1807,48,550,1220,1220,749,587,749,587,951.6144177,3772.216542,2956.32992,4825.757534,760.4869131,528.8154031,4825.757534,19424.89153,19447.45885,1409.674408,1477.663603,116.453112,0.752733574,0.713842234,1.120643814,1,1,0.1581,0.1581
40464.88358,40464.99398,0.110403,0.266481,1150.3,884,42,1497,1178,42,838,700,700,659,478,659,478,814.1038017,5969.040696,4329.592493,7535.527743,1105.042435,1159.388785,7535.527743,19755.61926,19790.46313,2272.988945,2164.403137,116.91815,0.485838665,0.501591123,161.1114187,2,1,0.1581,0.1581
40465.95961,40466.18395,0.224335,0.965636,1040.526316,1348.473684,52.05263158,1438,1798,53,551,948,948,887,850,887,850,1228.523097,3953.908218,3788.976308,5596.101682,909.3543139,659.7276395,5596.101682,19535.32551,19558.79295,1916.27625,1894.102117,117.994189,0.740186425,0.750562208,1.329331082,2,1,0.1581,0.1581
40466.53666,40466.6225,0.085839,0.352713,1030.25,1752.375,50,1266,1985,50,901,1638,1638,365,347,365,347,503.6208892,4252.14646,4042.451566,5885.492163,1421.265392,1561.061988,5885.492163,19332.10223,19357.09609,2428.465855,2020.867286,118.571237,0.04584799,0.338622231,171.6979756,3,1,0.1581,0.1581
40467.39977,40467.46089,0.061127,0.777264,1005,1821.666667,23,1186,1943,23,870,1746,1746,316,197,316,197,372.3774966,5169.565004,3222.798436,6121.433674,1570.500761,1079.719273,6121.433674,19292.63198,19322.87585,1987.165025,1610.893165,119.43434,0.110567426,0.0288357,169.9341373,4,1,0.1581,0.1581
42472.98394,42473.2008,0.216862,0,782.5789474,842.4736842,40,1084,1349,40,660,660,660,424,689,424,689,809.0098887,1955.160425,3177.13569,3744.52347,424.2329223,571.7921996,3744.52347,20803.83596,20815.30361,1643.682342,1588.404485,0,0.326648383,0.754361105,0.6047183,0,1,0.29165,0.29165
42475.50471,42475.59985,0.095149,2.303908,829.2222222,1556.222222,32,1024,1699,32,735,1501,1501,289,198,289,198,350.3212811,3037.341433,2080.946726,3726.95826,977.4143711,777.7275641,3726.95826,20442.02622,20459.65916,1339.627673,1040.220749,2.52077,0.093902303,0.351068842,0.410673467,1,1,0.2359,0.2359
42476.10939,42476.15726,0.047872,0.509534,1346,2022.6,13,1375,2035,13,1288,1994,1994,87,41,-87,-41,96.17692031,1817.346257,856.4505347,2031.371171,814.6724598,459.5588235,2031.371171,20237.41679,20226.76081,836.0614973,428.7287767,3.125453,0.557052381,0.86610941,0.124955769,2,1,0.27965,0.27965
42476.54678,42476.62953,0.082747,0.389521,907.375,1754,43,1031,1850,43,655,1562,1562,376,288,-376,-288,473.6243237,4543.971383,3480.488719,5727.940696,1740.244359,1401.863512,5727.940696,20387.16917,20361.28827,2199.97551,1740.741954,3.562846,0.885948621,0.945949006,179.6059747,2,1,0.27118,0.27118
42479.2724,42479.42819,0.155785,2.642874,1107.714286,867.8571429,31,1187,981,31,836,591,591,351,390,-351,-390,524.6913378,2253.105241,2503.450268,3449.594824,635.4912219,526.3664666,3449.594824,20819.51462,20805.74077,1473.684196,1252.22533,6.288467,0.895130583,0.997033228,149.1796538,1,1,0.36953,0.36953
42479.64764,42479.71887,0.071235,0.219452,928.7142857,1673.714286,38,1009,1772,38,781,1481,1481,228,291,-228,-291,369.682296,3200.673826,4085.070541,5197.042983,1249.385836,1684.565172,5197.042983,20421.23471,20402.97877,2429.081456,2043.037018,6.663704,0.983663958,0.994091954,0.328185694,1,1,0.30007,0.30007
42481.5259,42481.60898,0.08308,1.807024,851.875,1619.125,36,952,1719,36,645,1441,1441,307,278,-307,-278,414.1654259,3695.23351,3346.172364,5011.590863,1396.244584,1107.366394,5011.590863,20452.53392,20431.21546,2082.830284,1673.588818,8.541963,0.996312668,0.959219995,167.7806954,2,1,0.34281,0.34281
42482.2169,42482.28813,0.071224,0.607925,963.8571429,1482.285714,35,1016,1560,35,843,1332,1332,173,228,-173,-228,286.2044724,2428.956532,3201.168146,4056.9156,1179.377738,1361.900483,4056.9156,20514.19768,20499.97745,1966.129563,1601.076505,9.232968,0.956366516,0.992270976,0.248369291,3,1,0.39648,0.39648
42483.20996,42483.28112,0.071164,0.921829,1060.714286,1007.857143,6,1120,1127,6,944,831,831,176,296,-176,-296,344.371892,2473.160587,4159.406441,4907.357881,1025.799562,1503.56922,4907.357881,20751.94432,20737.68838,2410.426367,2080.201176,10.226021,0.952694603,0.995839868,0.252914001,2,1,0.52651,0.52651
